spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,SV Werder Bremen,h,4:1,89,5.56
5,0,1,Borussia M'gladbach,a,4:6,89,5.56
6,0,2,FC Bayern München,h,0:3,25,1.56
7,0,1,Sport-Club Freiburg,a,2:2,40,2.50
8,0,2,FC St. Pauli,h,2:0,65,4.64
9,0,5,1. FC Heidenheim,a,1:1,73,4.56
10,0,4,1. FSV Mainz 05,h,1:0,63,3.94
11,0,3,1. FC Köln,a,3:4,69,4.60
12,0,3,VfL Wolfsburg,h,1:1,55,3.67
13,0,2,RB Leipzig,a,6:0,8,0.50
14,0,1,FC Augsburg,h,1:0,57,3.56
16,0,1,Borussia Dortmund,h,3:3,56,3.73
17,0,1,VfB Stuttgart,a,3:2,46,2.88
20,0,2,Bayer 04 Leverkusen,h,1:3,33,2.20
21,0,2,1. FC Union Berlin,a,1:1,41,2.93
22,0,3,Borussia M'gladbach,h,3:0,87,5.44
23,0,4,FC Bayern München,a,3:2,45,2.81
24,0,4,Sport-Club Freiburg,h,2:0,81,5.06
28,0,1,1. FC Köln,h,2:2,73,4.56
33,0,2,Borussia Dortmund,a,3:2,46,2.88
34,0,2,VfB Stuttgart,h,2:2,51,3.19
