spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,1. FC Köln,h,0:1,48,3.00
2,0,2,VfL Wolfsburg,a,1:1,59,3.93
3,0,1,RB Leipzig,h,0:1,47,2.94
4,0,3,FC Augsburg,a,1:4,73,4.56
5,0,4,Borussia Dortmund,h,0:2,35,2.19
6,0,3,Hamburger SV,a,4:0,35,2.19
7,0,1,Bayer 04 Leverkusen,h,3:4,37,2.47
8,0,-1,VfB Stuttgart,a,2:1,33,2.36
11,0,1,TSG Hoffenheim,h,1:1,53,3.53
12,0,-1,Sport-Club Freiburg,a,4:0,9,0.60
14,0,4,FC Bayern München,a,2:2,58,4.46
16,0,3,1. FC Union Berlin,a,2:2,50,3.57
17,0,3,1. FC Heidenheim,h,2:1,57,3.80
18,1,13,1. FC Köln,a,2:1,53,3.79
19,1,14,VfL Wolfsburg,h,3:1,72,4.80
20,0,3,RB Leipzig,a,1:2,66,4.12
21,0,7,FC Augsburg,h,2:0,65,4.33
22,0,0,Borussia Dortmund,a,4:0,20,1.25
