spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
13,0,6,Borussia M'gladbach,h,0:1,46,3.29
14,0,9,FC Bayern München,a,2:2,58,4.46
15,0,3,FC St. Pauli,h,0:0,51,3.92
16,0,1,1. FC Union Berlin,a,2:2,50,3.57
17,0,1,1. FC Heidenheim,h,2:1,57,3.80
18,0,5,1. FC Köln,a,2:1,53,3.79
19,0,2,VfL Wolfsburg,h,3:1,72,4.80
20,0,4,RB Leipzig,a,1:2,66,4.12
21,0,9,FC Augsburg,h,2:0,65,4.33
22,0,3,Borussia Dortmund,a,4:0,20,1.25
23,0,4,Hamburger SV,h,1:1,56,4.00
24,0,5,Bayer 04 Leverkusen,a,1:1,52,3.71
25,0,3,VfB Stuttgart,h,2:2,55,3.93
26,0,7,SV Werder Bremen,a,0:2,70,5.00
27,0,4,Eintracht Frankfurt,h,2:1,55,3.67
28,0,4,TSG Hoffenheim,a,1:2,57,3.80
29,0,5,Sport-Club Freiburg,h,0:1,52,3.25
30,0,4,Borussia M'gladbach,a,1:1,70,4.38
31,0,-3,FC Bayern München,h,3:4,50,3.12
32,0,2,FC St. Pauli,a,1:2,68,4.25
34,0,9,1. FC Heidenheim,a,0:2,78,4.88
