spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
16,0,3,Borussia M'gladbach,a,4:0,34,2.12
17,0,4,1. FC Union Berlin,h,1:1,52,3.25
18,0,4,Sport-Club Freiburg,h,2:2,52,3.47
20,2,16,FC St. Pauli,h,2:1,66,4.12
21,0,1,1. FSV Mainz 05,a,2:0,45,2.81
22,0,3,1. FC Heidenheim,h,1:0,65,4.33
23,0,7,VfL Wolfsburg,a,2:3,65,4.06
24,0,4,1. FC Köln,h,2:0,72,4.50
25,0,2,RB Leipzig,a,2:1,56,3.50
26,0,1,Borussia Dortmund,a,2:0,31,1.94
27,0,2,VfB Stuttgart,h,2:5,33,2.20
28,0,0,Hamburger SV,a,1:1,59,4.54
29,1,7,TSG Hoffenheim,h,2:2,47,3.36
31,0,1,Eintracht Frankfurt,h,1:1,62,4.43
32,0,7,SV Werder Bremen,a,1:3,73,4.56
33,2,17,Borussia M'gladbach,h,3:1,65,4.06
34,0,1,1. FC Union Berlin,a,4:0,35,2.19
