spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
4,0,1,Borussia M'gladbach,h,1:1,65,4.06
5,0,2,FC St. Pauli,a,1:2,59,3.69
6,0,1,1. FC Union Berlin,h,2:0,86,5.73
7,0,8,1. FSV Mainz 05,a,3:4,70,5.00
8,0,2,Sport-Club Freiburg,h,2:0,80,5.00
9,0,1,FC Bayern München,a,3:0,29,1.93
10,1,13,1. FC Heidenheim,h,6:0,126,7.88
11,1,12,VfL Wolfsburg,a,1:3,77,5.13
12,0,5,Borussia Dortmund,h,1:2,51,3.64
13,0,1,FC Augsburg,a,2:0,56,3.50
14,0,5,1. FC Köln,h,2:0,76,4.75
15,0,4,RB Leipzig,a,1:3,82,5.12
16,0,2,VfB Stuttgart,h,1:4,40,2.50
18,0,2,TSG Hoffenheim,a,1:0,57,3.56
19,0,8,SV Werder Bremen,h,1:0,76,5.07
20,0,3,Eintracht Frankfurt,a,1:3,83,5.53
21,0,3,Borussia M'gladbach,a,1:1,52,3.47
22,0,3,FC St. Pauli,h,4:0,94,5.88
23,0,2,1. FC Union Berlin,a,1:0,48,3.00
24,0,4,1. FSV Mainz 05,h,1:1,68,4.25
26,0,3,FC Bayern München,h,1:1,64,4.00
30,0,3,FC Augsburg,h,1:2,74,4.93
34,0,3,Hamburger SV,h,1:1,80,5.33
