spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,Eintracht Frankfurt,a,4:1,20,1.43
2,0,-5,Bayer 04 Leverkusen,h,3:3,51,3.40
8,0,2,1. FC Union Berlin,h,1:0,67,4.19
9,0,,1. FSV Mainz 05,a,1:1,49,3.27
12,0,-5,1. FC Köln,h,1:1,48,3.43
14,0,1,VfB Stuttgart,h,0:4,23,1.44
15,0,5,FC Augsburg,a,0:0,57,3.80
22,0,0,FC Bayern München,h,0:3,41,2.56
23,0,4,FC St. Pauli,a,2:1,38,2.71
24,0,4,1. FC Heidenheim,h,2:0,47,3.36
25,0,2,1. FC Union Berlin,a,1:4,93,6.20
27,0,5,VfL Wolfsburg,a,0:1,52,3.71
30,0,,Hamburger SV,h,3:1,71,5.46
31,0,3,VfB Stuttgart,a,1:1,54,3.86
