spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,5,1. FC Köln,h,0:1,48,3.00
2,0,2,VfL Wolfsburg,a,1:1,59,3.93
3,0,3,RB Leipzig,h,0:1,47,2.94
4,0,3,FC Augsburg,a,1:4,73,4.56
5,0,3,Borussia Dortmund,h,0:2,35,2.19
6,0,0,Hamburger SV,a,4:0,35,2.19
7,0,2,Bayer 04 Leverkusen,h,3:4,37,2.47
8,0,3,VfB Stuttgart,a,2:1,33,2.36
9,0,7,SV Werder Bremen,h,1:1,54,3.86
10,0,1,Eintracht Frankfurt,a,1:0,37,2.85
11,0,3,TSG Hoffenheim,h,1:1,53,3.53
12,0,-1,Sport-Club Freiburg,a,4:0,9,0.60
13,0,0,Borussia M'gladbach,h,0:1,46,3.29
19,0,1,VfL Wolfsburg,h,3:1,72,4.80
20,0,1,RB Leipzig,a,1:2,66,4.12
21,0,2,FC Augsburg,h,2:0,65,4.33
22,0,2,Borussia Dortmund,a,4:0,20,1.25
23,0,3,Hamburger SV,h,1:1,56,4.00
24,0,3,Bayer 04 Leverkusen,a,1:1,52,3.71
25,0,2,VfB Stuttgart,h,2:2,55,3.93
26,0,5,SV Werder Bremen,a,0:2,70,5.00
27,0,2,Eintracht Frankfurt,h,2:1,55,3.67
28,0,6,TSG Hoffenheim,a,1:2,57,3.80
29,0,2,Sport-Club Freiburg,h,0:1,52,3.25
30,0,5,Borussia M'gladbach,a,1:1,70,4.38
31,0,2,FC Bayern München,h,3:4,50,3.12
32,1,13,FC St. Pauli,a,1:2,68,4.25
33,0,2,1. FC Union Berlin,h,1:3,40,2.50
34,0,6,1. FC Heidenheim,a,0:2,78,4.88
