spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,1. FSV Mainz 05,a,0:1,68,4.25
3,1,9,VfL Wolfsburg,a,3:3,54,3.38
4,0,2,RB Leipzig,a,3:1,52,3.25
5,0,2,VfB Stuttgart,h,1:2,48,3.00
7,0,4,FC Augsburg,h,1:1,54,3.38
10,0,8,Borussia M'gladbach,a,3:1,49,3.06
11,1,9,Eintracht Frankfurt,h,3:4,49,3.06
12,0,2,SV Werder Bremen,a,1:1,55,3.44
13,0,6,FC St. Pauli,h,1:1,43,2.87
14,0,1,Bayer 04 Leverkusen,a,2:0,32,2.00
17,0,2,FC Bayern München,h,1:3,39,2.60
18,0,4,1. FSV Mainz 05,h,2:1,73,4.56
19,0,,Sport-Club Freiburg,a,2:1,44,3.14
21,0,2,RB Leipzig,h,1:2,44,2.93
22,0,5,VfB Stuttgart,a,3:1,28,1.87
23,0,1,TSG Hoffenheim,h,2:2,59,4.21
24,0,3,FC Augsburg,a,2:0,42,2.62
27,0,2,Borussia M'gladbach,h,3:3,55,3.44
28,0,2,Eintracht Frankfurt,a,2:2,64,4.00
29,0,4,SV Werder Bremen,h,3:1,64,4.27
30,0,7,FC St. Pauli,a,1:1,62,3.88
31,1,10,Bayer 04 Leverkusen,h,1:2,45,2.81
32,0,4,1. FC Union Berlin,a,2:2,46,2.88
33,0,5,1. FC Heidenheim,h,1:3,31,2.21
