spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,5,SV Werder Bremen,h,4:1,89,5.56
2,0,6,TSG Hoffenheim,a,1:3,68,4.25
3,0,2,Bayer 04 Leverkusen,a,3:1,16,1.00
8,0,5,FC St. Pauli,h,2:0,65,4.64
9,0,3,1. FC Heidenheim,a,1:1,73,4.56
10,0,2,1. FSV Mainz 05,h,1:0,63,3.94
11,0,-1,1. FC Köln,a,3:4,69,4.60
12,0,4,VfL Wolfsburg,h,1:1,55,3.67
13,0,-3,RB Leipzig,a,6:0,8,0.50
14,0,6,FC Augsburg,h,1:0,57,3.56
15,0,2,Hamburger SV,a,1:1,52,3.25
24,0,7,Sport-Club Freiburg,h,2:0,81,5.06
25,0,4,FC St. Pauli,a,0:0,54,4.15
26,0,3,1. FC Heidenheim,h,1:0,58,4.14
27,0,4,1. FSV Mainz 05,a,2:1,51,3.19
28,0,8,1. FC Köln,h,2:2,73,4.56
29,0,5,VfL Wolfsburg,a,1:2,61,4.07
30,0,6,RB Leipzig,h,1:3,54,3.60
31,0,3,FC Augsburg,a,1:1,61,4.36
32,0,2,Hamburger SV,h,1:2,40,2.50
33,0,4,Borussia Dortmund,a,3:2,46,2.88
34,0,4,VfB Stuttgart,h,2:2,51,3.19
