spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
16,0,,FC St. Pauli,a,1:1,47,3.36
19,0,,1. FC Heidenheim,a,0:3,86,5.73
20,0,2,1. FSV Mainz 05,h,1:2,51,3.64
21,0,2,1. FC Köln,a,1:2,74,4.93
22,0,4,VfL Wolfsburg,h,2:2,74,4.62
23,0,0,Borussia Dortmund,h,2:2,69,4.60
24,0,,Hamburger SV,a,1:2,57,4.38
25,0,3,FC Augsburg,h,2:1,68,4.53
26,0,,VfB Stuttgart,a,1:0,35,2.33
27,1,10,TSG Hoffenheim,h,5:0,102,6.38
28,0,,SV Werder Bremen,a,1:2,57,3.80
29,0,2,Borussia M'gladbach,h,1:0,72,4.80
30,0,,Eintracht Frankfurt,a,1:3,75,5.36
31,0,2,1. FC Union Berlin,h,3:1,77,4.81
32,0,-1,Bayer 04 Leverkusen,a,4:1,40,2.50
33,0,,FC St. Pauli,h,2:1,64,4.57
34,0,-1,Sport-Club Freiburg,a,4:1,37,2.31
