spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,11,Sport-Club Freiburg,a,1:3,62,4.77
2,0,1,FC Bayern München,h,2:3,54,3.60
3,0,2,FC St. Pauli,a,2:1,54,3.38
4,0,-2,1. FSV Mainz 05,h,1:4,43,2.69
5,0,2,1. FC Heidenheim,a,2:1,44,2.75
7,0,,1. FC Köln,a,1:1,42,2.80
8,0,2,RB Leipzig,h,0:6,20,1.25
10,0,2,VfB Stuttgart,a,3:2,54,3.38
12,0,3,TSG Hoffenheim,a,3:0,46,2.88
14,0,4,Eintracht Frankfurt,a,1:0,57,3.56
15,0,1,SV Werder Bremen,h,0:0,54,3.38
16,0,3,Borussia M'gladbach,a,4:0,34,2.12
17,0,1,1. FC Union Berlin,h,1:1,52,3.25
18,0,,Sport-Club Freiburg,h,2:2,52,3.47
19,0,3,FC Bayern München,a,1:2,76,5.07
20,0,-1,FC St. Pauli,h,2:1,66,4.12
21,0,2,1. FSV Mainz 05,a,2:0,45,2.81
22,0,1,1. FC Heidenheim,h,1:0,65,4.33
23,0,2,VfL Wolfsburg,a,2:3,65,4.06
24,0,2,1. FC Köln,h,2:0,72,4.50
25,0,3,RB Leipzig,a,2:1,56,3.50
26,0,3,Borussia Dortmund,a,2:0,31,1.94
28,0,7,Hamburger SV,a,1:1,59,4.54
29,0,2,TSG Hoffenheim,h,2:2,47,3.36
30,0,1,Bayer 04 Leverkusen,a,1:2,72,4.80
31,0,2,Eintracht Frankfurt,h,1:1,62,4.43
32,0,5,SV Werder Bremen,a,1:3,73,4.56
33,0,2,Borussia M'gladbach,h,3:1,65,4.06
34,0,3,1. FC Union Berlin,a,4:0,35,2.19
