spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,Sport-Club Freiburg,a,1:3,62,4.77
2,0,1,FC Bayern München,h,2:3,54,3.60
3,0,2,FC St. Pauli,a,2:1,54,3.38
4,0,1,1. FSV Mainz 05,h,1:4,43,2.69
10,0,3,VfB Stuttgart,a,3:2,54,3.38
29,0,3,TSG Hoffenheim,h,2:2,47,3.36
30,0,2,Bayer 04 Leverkusen,a,1:2,72,4.80
31,0,3,Eintracht Frankfurt,h,1:1,62,4.43
32,0,2,SV Werder Bremen,a,1:3,73,4.56
33,0,2,Borussia M'gladbach,h,3:1,65,4.06
34,0,3,1. FC Union Berlin,a,4:0,35,2.19
