spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,2,1. FC Köln,a,4:1,30,1.88
4,0,2,SV Werder Bremen,a,0:3,73,4.56
5,0,3,TSG Hoffenheim,h,1:1,56,3.50
13,0,-3,1. FC Heidenheim,a,2:1,45,2.81
14,0,3,Borussia Dortmund,h,1:1,63,4.85
15,0,0,VfL Wolfsburg,a,3:4,52,3.25
16,0,1,Hamburger SV,h,2:1,66,4.12
17,0,3,RB Leipzig,a,2:0,44,2.75
21,0,2,SV Werder Bremen,h,1:0,56,3.50
22,0,3,TSG Hoffenheim,a,3:0,28,1.87
31,0,2,Borussia Dortmund,a,4:0,22,1.38
33,0,3,Hamburger SV,a,3:2,40,2.50
