spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,Borussia M'gladbach,a,0:0,50,3.57
2,0,2,FC St. Pauli,h,0:2,43,2.69
7,0,3,RB Leipzig,a,2:1,55,3.44
8,0,3,VfL Wolfsburg,h,0:1,56,4.00
9,0,2,1. FC Köln,a,4:1,18,1.12
10,0,2,Borussia Dortmund,h,1:1,53,3.79
13,1,10,SV Werder Bremen,h,3:2,75,5.00
14,0,2,TSG Hoffenheim,a,4:1,33,2.20
22,0,3,1. FC Union Berlin,h,3:2,56,3.73
23,0,3,1. FSV Mainz 05,a,1:1,53,3.79
24,0,1,RB Leipzig,h,1:2,42,2.80
25,0,2,VfL Wolfsburg,a,1:2,55,3.67
32,0,1,Eintracht Frankfurt,a,1:2,56,3.50
33,0,2,Sport-Club Freiburg,h,3:2,67,4.79
34,0,2,Bayer 04 Leverkusen,a,1:1,64,4.00
