spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,FC Augsburg,h,1:3,41,2.73
2,0,1,1. FC Köln,a,4:1,30,1.88
3,0,6,VfB Stuttgart,h,3:1,64,4.27
4,0,2,SV Werder Bremen,a,0:3,73,4.56
5,1,11,TSG Hoffenheim,h,1:1,56,3.50
7,0,5,Eintracht Frankfurt,h,2:2,52,3.25
8,0,1,Bayer 04 Leverkusen,a,2:0,39,2.44
9,0,2,1. FC Union Berlin,a,0:0,54,3.86
12,1,14,1. FSV Mainz 05,h,4:0,104,6.93
13,0,5,1. FC Heidenheim,a,2:1,45,2.81
14,0,6,Borussia Dortmund,h,1:1,63,4.85
15,0,1,VfL Wolfsburg,a,3:4,52,3.25
16,0,3,Hamburger SV,h,2:1,66,4.12
17,0,1,RB Leipzig,a,2:0,44,2.75
18,0,4,FC Augsburg,a,2:2,57,3.56
19,0,2,1. FC Köln,h,2:1,56,3.50
28,0,0,FC Bayern München,h,2:3,54,3.60
29,0,3,1. FSV Mainz 05,a,0:1,53,3.31
30,0,3,1. FC Heidenheim,h,2:1,69,4.31
31,0,3,Borussia Dortmund,a,4:0,22,1.38
32,0,2,VfL Wolfsburg,h,1:1,53,3.31
33,0,4,Hamburger SV,a,3:2,40,2.50
34,0,2,RB Leipzig,h,4:1,81,5.40
