spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
13,0,3,SV Werder Bremen,h,3:2,75,5.00
14,0,2,TSG Hoffenheim,a,4:1,33,2.20
15,0,5,Eintracht Frankfurt,h,1:1,53,3.79
16,0,1,Sport-Club Freiburg,a,2:1,43,2.69
17,0,1,Bayer 04 Leverkusen,h,0:1,38,2.38
18,0,6,Borussia M'gladbach,h,0:0,70,4.38
19,0,2,FC St. Pauli,a,0:0,55,3.44
20,0,0,FC Bayern München,h,2:2,61,3.81
21,0,4,1. FC Heidenheim,a,0:2,69,4.31
22,0,3,1. FC Union Berlin,h,3:2,56,3.73
23,0,0,1. FSV Mainz 05,a,1:1,53,3.79
30,0,1,SV Werder Bremen,a,3:1,29,1.93
31,0,2,TSG Hoffenheim,h,1:2,51,3.64
32,0,-1,Eintracht Frankfurt,a,1:2,56,3.50
33,1,8,Sport-Club Freiburg,h,3:2,67,4.79
