spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,9,RB Leipzig,h,6:0,108,7.20
2,1,9,FC Augsburg,a,2:3,58,4.14
3,1,9,Hamburger SV,h,5:0,106,6.62
4,1,7,TSG Hoffenheim,a,1:4,76,4.75
5,0,3,SV Werder Bremen,h,4:0,105,6.56
6,0,3,Eintracht Frankfurt,a,0:3,71,5.07
8,0,4,Borussia M'gladbach,a,0:3,97,6.06
9,1,10,Bayer 04 Leverkusen,h,3:0,80,5.00
10,0,2,1. FC Union Berlin,a,2:2,58,4.14
12,0,3,FC St. Pauli,h,3:1,91,5.69
14,0,7,1. FSV Mainz 05,h,2:2,67,4.47
15,0,4,1. FC Heidenheim,a,0:4,104,7.43
17,1,8,1. FC Köln,a,1:3,75,5.00
18,1,9,RB Leipzig,a,1:5,92,6.13
20,0,5,Hamburger SV,a,2:2,59,4.21
21,0,2,TSG Hoffenheim,h,5:1,104,6.50
22,0,2,SV Werder Bremen,a,0:3,82,5.47
23,0,2,Eintracht Frankfurt,h,3:2,74,5.29
24,0,5,Borussia Dortmund,a,2:3,67,5.58
27,2,18,1. FC Union Berlin,h,4:0,89,6.36
28,0,3,Sport-Club Freiburg,a,2:3,72,4.50
