spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,6,Borussia M'gladbach,a,0:0,50,3.57
2,0,8,FC St. Pauli,h,0:2,43,2.69
10,0,5,Borussia Dortmund,h,1:1,53,3.79
11,0,3,FC Augsburg,a,1:0,50,3.57
12,0,3,VfB Stuttgart,h,2:1,51,3.40
13,0,4,SV Werder Bremen,h,3:2,75,5.00
14,0,0,TSG Hoffenheim,a,4:1,33,2.20
16,0,2,Sport-Club Freiburg,a,2:1,43,2.69
17,0,1,Bayer 04 Leverkusen,h,0:1,38,2.38
18,0,6,Borussia M'gladbach,h,0:0,70,4.38
19,0,8,FC St. Pauli,a,0:0,55,3.44
21,0,5,1. FC Heidenheim,a,0:2,69,4.31
22,0,0,1. FC Union Berlin,h,3:2,56,3.73
23,0,6,1. FSV Mainz 05,a,1:1,53,3.79
24,0,0,RB Leipzig,h,1:2,42,2.80
25,0,2,VfL Wolfsburg,a,1:2,55,3.67
26,0,5,1. FC Köln,h,1:1,52,3.47
27,0,3,Borussia Dortmund,a,3:2,47,3.36
28,0,3,FC Augsburg,h,1:1,45,3.21
29,0,3,VfB Stuttgart,a,4:0,31,2.07
30,0,0,SV Werder Bremen,a,3:1,29,1.93
31,0,4,TSG Hoffenheim,h,1:2,51,3.64
32,0,4,Eintracht Frankfurt,a,1:2,56,3.50
34,0,1,Bayer 04 Leverkusen,a,1:1,64,4.00
