spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,RB Leipzig,h,6:0,108,7.20
2,0,3,FC Augsburg,a,2:3,58,4.14
3,0,2,Hamburger SV,h,5:0,106,6.62
4,0,1,TSG Hoffenheim,a,1:4,76,4.75
5,0,5,SV Werder Bremen,h,4:0,105,6.56
6,0,7,Eintracht Frankfurt,a,0:3,71,5.07
7,0,3,Borussia Dortmund,h,2:1,52,4.00
8,0,4,Borussia M'gladbach,a,0:3,97,6.06
10,0,4,1. FC Union Berlin,a,2:2,58,4.14
11,1,12,Sport-Club Freiburg,h,6:2,98,6.12
13,0,5,VfB Stuttgart,a,0:5,96,6.00
15,0,5,1. FC Heidenheim,a,0:4,104,7.43
16,0,3,VfL Wolfsburg,h,8:1,107,6.69
17,0,3,1. FC Köln,a,1:3,75,5.00
18,0,5,RB Leipzig,a,1:5,92,6.13
20,0,3,Hamburger SV,a,2:2,59,4.21
21,0,5,TSG Hoffenheim,h,5:1,104,6.50
23,0,5,Eintracht Frankfurt,h,3:2,74,5.29
24,0,6,Borussia Dortmund,a,2:3,67,5.58
25,0,4,Borussia M'gladbach,h,4:1,99,6.19
26,0,5,Bayer 04 Leverkusen,a,1:1,48,3.69
27,0,5,1. FC Union Berlin,h,4:0,89,6.36
33,0,3,VfL Wolfsburg,a,0:1,85,5.31
34,0,5,1. FC Köln,h,5:1,92,5.75
