spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,RB Leipzig,h,6:0,108,7.20
2,0,2,FC Augsburg,a,2:3,58,4.14
3,0,8,Hamburger SV,h,5:0,106,6.62
4,0,5,TSG Hoffenheim,a,1:4,76,4.75
5,1,14,SV Werder Bremen,h,4:0,105,6.56
6,0,2,Eintracht Frankfurt,a,0:3,71,5.07
7,0,2,Borussia Dortmund,h,2:1,52,4.00
8,0,4,Borussia M'gladbach,a,0:3,97,6.06
9,0,6,Bayer 04 Leverkusen,h,3:0,80,5.00
10,0,2,1. FC Union Berlin,a,2:2,58,4.14
11,0,4,Sport-Club Freiburg,h,6:2,98,6.12
12,0,-1,FC St. Pauli,h,3:1,91,5.69
13,1,14,VfB Stuttgart,a,0:5,96,6.00
14,0,0,1. FSV Mainz 05,h,2:2,67,4.47
16,0,6,VfL Wolfsburg,h,8:1,107,6.69
17,0,4,1. FC Köln,a,1:3,75,5.00
21,0,2,TSG Hoffenheim,h,5:1,104,6.50
22,0,5,SV Werder Bremen,a,0:3,82,5.47
24,0,1,Borussia Dortmund,a,2:3,67,5.58
25,1,13,Borussia M'gladbach,h,4:1,99,6.19
26,0,0,Bayer 04 Leverkusen,a,1:1,48,3.69
27,0,8,1. FC Union Berlin,h,4:0,89,6.36
28,0,3,Sport-Club Freiburg,a,2:3,72,4.50
29,0,6,FC St. Pauli,a,0:5,114,7.12
30,0,2,VfB Stuttgart,h,4:2,90,5.62
31,0,7,1. FSV Mainz 05,a,3:4,70,4.38
32,0,3,1. FC Heidenheim,h,3:3,67,4.19
33,0,5,VfL Wolfsburg,a,0:1,85,5.31
34,0,1,1. FC Köln,h,5:1,92,5.75
