spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,FC Augsburg,h,1:3,41,2.73
2,0,0,1. FC Köln,a,4:1,30,1.88
3,0,3,VfB Stuttgart,h,3:1,64,4.27
4,0,3,SV Werder Bremen,a,0:3,73,4.56
6,0,5,Borussia M'gladbach,a,0:0,56,3.73
7,0,3,Eintracht Frankfurt,h,2:2,52,3.25
8,0,0,Bayer 04 Leverkusen,a,2:0,39,2.44
10,0,7,FC St. Pauli,h,2:1,48,3.20
11,0,-1,FC Bayern München,a,6:2,11,0.69
12,0,8,1. FSV Mainz 05,h,4:0,104,6.93
13,0,2,1. FC Heidenheim,a,2:1,45,2.81
16,0,3,Hamburger SV,h,2:1,66,4.12
27,0,5,FC St. Pauli,a,1:2,59,3.93
28,0,3,FC Bayern München,h,2:3,54,3.60
29,0,4,1. FSV Mainz 05,a,0:1,53,3.31
30,0,1,1. FC Heidenheim,h,2:1,69,4.31
31,0,0,Borussia Dortmund,a,4:0,22,1.38
32,1,13,VfL Wolfsburg,h,1:1,53,3.31
33,0,4,Hamburger SV,a,3:2,40,2.50
34,0,2,RB Leipzig,h,4:1,81,5.40
