spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
4,0,5,RB Leipzig,a,3:1,52,3.25
5,0,2,VfB Stuttgart,h,1:2,48,3.00
6,0,2,TSG Hoffenheim,a,0:1,65,4.06
8,0,1,Borussia Dortmund,a,1:0,45,2.81
9,0,3,Hamburger SV,h,4:1,87,5.44
10,0,3,Borussia M'gladbach,a,3:1,49,3.06
13,0,0,FC St. Pauli,h,1:1,43,2.87
14,0,2,Bayer 04 Leverkusen,a,2:0,32,2.00
15,0,,1. FC Union Berlin,h,0:1,44,2.93
16,0,2,1. FC Heidenheim,a,2:2,65,4.33
17,1,12,FC Bayern München,h,1:3,39,2.60
18,0,2,1. FSV Mainz 05,h,2:1,73,4.56
19,0,4,Sport-Club Freiburg,a,2:1,44,3.14
20,1,10,VfL Wolfsburg,h,1:0,61,4.36
25,0,1,Borussia Dortmund,h,1:2,35,2.69
26,0,1,Hamburger SV,a,1:1,46,2.88
27,0,1,Borussia M'gladbach,h,3:3,55,3.44
28,0,4,Eintracht Frankfurt,a,2:2,64,4.00
29,0,4,SV Werder Bremen,h,3:1,64,4.27
30,0,2,FC St. Pauli,a,1:1,62,3.88
31,0,3,Bayer 04 Leverkusen,h,1:2,45,2.81
32,0,2,1. FC Union Berlin,a,2:2,46,2.88
33,0,2,1. FC Heidenheim,h,1:3,31,2.21
34,0,1,FC Bayern München,a,5:1,10,0.67
