spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,Hamburger SV,h,0:0,62,3.88
2,0,3,VfB Stuttgart,a,1:0,56,3.50
4,0,2,Bayer 04 Leverkusen,a,1:1,63,3.94
5,0,2,Eintracht Frankfurt,h,4:6,57,3.56
6,0,4,Sport-Club Freiburg,h,0:0,56,3.50
7,0,1,1. FC Union Berlin,a,3:1,38,2.38
9,0,7,FC St. Pauli,a,0:4,104,6.50
10,0,0,1. FC Köln,h,3:1,68,4.53
11,0,4,1. FC Heidenheim,a,0:3,88,5.87
12,0,4,RB Leipzig,h,0:0,53,3.53
15,0,4,Borussia Dortmund,a,2:0,33,2.20
16,0,6,FC Augsburg,h,4:0,81,5.06
18,0,2,Hamburger SV,a,0:0,48,3.43
19,0,5,VfB Stuttgart,h,0:3,20,1.43
20,0,2,SV Werder Bremen,a,1:1,52,3.47
26,0,1,FC St. Pauli,h,2:0,63,4.20
28,0,3,1. FC Heidenheim,h,2:2,62,3.88
