spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,0,SV Werder Bremen,h,4:1,89,5.56
3,0,0,Bayer 04 Leverkusen,a,3:1,16,1.00
4,0,9,1. FC Union Berlin,h,3:4,57,3.56
5,1,7,Borussia M'gladbach,a,4:6,89,5.56
6,0,2,FC Bayern München,h,0:3,25,1.56
7,2,16,Sport-Club Freiburg,a,2:2,40,2.50
8,2,16,FC St. Pauli,h,2:0,65,4.64
9,0,4,1. FC Heidenheim,a,1:1,73,4.56
10,0,2,1. FSV Mainz 05,h,1:0,63,3.94
11,2,17,1. FC Köln,a,3:4,69,4.60
23,0,7,FC Bayern München,a,3:2,45,2.81
24,0,1,Sport-Club Freiburg,h,2:0,81,5.06
25,0,2,FC St. Pauli,a,0:0,54,4.15
26,0,1,1. FC Heidenheim,h,1:0,58,4.14
27,0,3,1. FSV Mainz 05,a,2:1,51,3.19
28,1,8,1. FC Köln,h,2:2,73,4.56
29,0,1,VfL Wolfsburg,a,1:2,61,4.07
30,0,2,RB Leipzig,h,1:3,54,3.60
31,0,,FC Augsburg,a,1:1,61,4.36
32,0,4,Hamburger SV,h,1:2,40,2.50
33,1,10,Borussia Dortmund,a,3:2,46,2.88
34,0,16,VfB Stuttgart,h,2:2,51,3.19
