spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,Sport-Club Freiburg,a,1:3,62,4.77
2,0,0,FC Bayern München,h,2:3,54,3.60
4,0,3,1. FSV Mainz 05,h,1:4,43,2.69
5,0,2,1. FC Heidenheim,a,2:1,44,2.75
9,0,4,Borussia Dortmund,h,0:1,35,2.19
10,0,0,VfB Stuttgart,a,3:2,54,3.38
11,0,2,Hamburger SV,h,1:0,65,4.33
13,0,9,Bayer 04 Leverkusen,h,2:0,74,4.93
14,0,4,Eintracht Frankfurt,a,1:0,57,3.56
15,0,6,SV Werder Bremen,h,0:0,54,3.38
16,0,3,Borussia M'gladbach,a,4:0,34,2.12
17,0,5,1. FC Union Berlin,h,1:1,52,3.25
18,0,5,Sport-Club Freiburg,h,2:2,52,3.47
19,0,4,FC Bayern München,a,1:2,76,5.07
20,0,7,FC St. Pauli,h,2:1,66,4.12
21,0,4,1. FSV Mainz 05,a,2:0,45,2.81
22,0,9,1. FC Heidenheim,h,1:0,65,4.33
23,0,3,VfL Wolfsburg,a,2:3,65,4.06
24,0,8,1. FC Köln,h,2:0,72,4.50
25,0,1,RB Leipzig,a,2:1,56,3.50
26,0,5,Borussia Dortmund,a,2:0,31,1.94
27,0,0,VfB Stuttgart,h,2:5,33,2.20
28,0,7,Hamburger SV,a,1:1,59,4.54
32,0,2,SV Werder Bremen,a,1:3,73,4.56
