spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
14,0,0,1. FSV Mainz 05,h,2:2,67,4.47
15,0,4,1. FC Heidenheim,a,0:4,104,7.43
18,0,2,RB Leipzig,a,1:5,92,6.13
19,0,3,FC Augsburg,h,1:2,59,3.69
20,0,4,Hamburger SV,a,2:2,59,4.21
21,0,2,TSG Hoffenheim,h,5:1,104,6.50
22,0,4,SV Werder Bremen,a,0:3,82,5.47
23,0,4,Eintracht Frankfurt,h,3:2,74,5.29
28,0,4,Sport-Club Freiburg,a,2:3,72,4.50
29,0,4,FC St. Pauli,a,0:5,114,7.12
30,1,11,VfB Stuttgart,h,4:2,90,5.62
31,0,1,1. FSV Mainz 05,a,3:4,70,4.38
32,0,2,1. FC Heidenheim,h,3:3,67,4.19
