spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
7,0,,FC St. Pauli,a,0:3,82,5.86
8,0,3,1. FC Heidenheim,h,3:1,70,4.38
9,0,2,VfL Wolfsburg,a,2:3,70,4.38
10,0,2,RB Leipzig,h,3:1,76,4.75
12,0,2,FC Augsburg,h,3:0,79,4.94
14,1,12,Hamburger SV,h,4:1,80,5.33
15,0,0,VfB Stuttgart,a,0:0,39,3.00
16,0,4,SV Werder Bremen,a,0:2,60,4.62
17,0,5,Borussia M'gladbach,h,5:1,102,6.38
19,1,15,Eintracht Frankfurt,a,1:3,57,4.38
20,0,5,1. FC Union Berlin,h,3:1,61,4.36
21,0,-2,FC Bayern München,a,5:1,19,1.19
22,1,14,Sport-Club Freiburg,h,3:0,97,6.93
23,1,13,1. FC Köln,a,2:2,57,4.38
24,0,7,FC St. Pauli,h,0:1,65,4.64
25,0,3,1. FC Heidenheim,a,2:4,75,4.69
26,0,8,VfL Wolfsburg,h,1:1,65,4.64
27,0,-1,RB Leipzig,a,5:0,3,0.19
28,0,3,1. FSV Mainz 05,h,1:2,48,3.43
29,0,3,FC Augsburg,a,2:2,60,4.29
30,0,5,Borussia Dortmund,h,2:1,52,3.47
31,0,4,Hamburger SV,a,1:2,57,3.56
32,0,0,VfB Stuttgart,h,3:3,57,4.75
33,0,6,SV Werder Bremen,h,1:0,75,5.36
34,0,0,Borussia M'gladbach,a,4:0,13,0.81
