spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,0,Sport-Club Freiburg,a,1:3,62,4.77
2,0,2,FC Bayern München,h,2:3,54,3.60
3,0,2,FC St. Pauli,a,2:1,54,3.38
4,0,3,1. FSV Mainz 05,h,1:4,43,2.69
5,1,8,1. FC Heidenheim,a,2:1,44,2.75
7,0,0,1. FC Köln,a,1:1,42,2.80
8,0,1,RB Leipzig,h,0:6,20,1.25
9,0,1,Borussia Dortmund,h,0:1,35,2.19
12,0,2,TSG Hoffenheim,a,3:0,46,2.88
15,0,1,SV Werder Bremen,h,0:0,54,3.38
16,0,0,1. FC Union Berlin,a,2:2,50,3.57
17,0,-1,1. FC Heidenheim,h,2:1,57,3.80
18,0,5,1. FC Köln,a,2:1,53,3.79
19,1,5,VfL Wolfsburg,h,3:1,72,4.80
20,0,6,RB Leipzig,a,1:2,66,4.12
21,0,2,FC Augsburg,h,2:0,65,4.33
22,0,2,Borussia Dortmund,a,4:0,20,1.25
23,0,3,Hamburger SV,h,1:1,56,4.00
24,0,3,Bayer 04 Leverkusen,a,1:1,52,3.71
25,0,3,VfB Stuttgart,h,2:2,55,3.93
26,0,0,SV Werder Bremen,a,0:2,70,5.00
27,0,1,Eintracht Frankfurt,h,2:1,55,3.67
28,2,15,TSG Hoffenheim,a,1:2,57,3.80
29,0,3,Sport-Club Freiburg,h,0:1,52,3.25
30,0,2,Borussia M'gladbach,a,1:1,70,4.38
31,0,3,FC Bayern München,h,3:4,50,3.12
32,1,10,FC St. Pauli,a,1:2,68,4.25
33,0,4,1. FC Union Berlin,h,1:3,40,2.50
34,1,12,1. FC Heidenheim,a,0:2,78,4.88
