spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,1. FC Köln,h,0:1,48,3.00
5,0,3,Borussia Dortmund,h,0:2,35,2.19
6,0,3,Hamburger SV,a,4:0,35,2.19
9,0,2,SV Werder Bremen,h,1:1,54,3.86
10,0,2,Eintracht Frankfurt,a,1:0,37,2.85
11,0,2,TSG Hoffenheim,h,1:1,53,3.53
12,0,1,Sport-Club Freiburg,a,4:0,9,0.60
14,0,2,FC Bayern München,a,2:2,58,4.46
16,0,1,1. FC Union Berlin,a,2:2,50,3.57
17,0,-1,1. FC Heidenheim,h,2:1,57,3.80
18,0,3,1. FC Köln,a,2:1,53,3.79
19,0,1,VfL Wolfsburg,h,3:1,72,4.80
20,0,2,RB Leipzig,a,1:2,66,4.12
21,0,,FC Augsburg,h,2:0,65,4.33
24,0,2,Bayer 04 Leverkusen,a,1:1,52,3.71
26,0,,SV Werder Bremen,a,0:2,70,5.00
27,0,2,Eintracht Frankfurt,h,2:1,55,3.67
28,0,,TSG Hoffenheim,a,1:2,57,3.80
31,0,1,FC Bayern München,h,3:4,50,3.12
32,0,1,FC St. Pauli,a,1:2,68,4.25
34,0,1,1. FC Heidenheim,a,0:2,78,4.88
