spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
21,0,3,FC Augsburg,h,2:0,65,4.33
22,0,1,Borussia Dortmund,a,4:0,20,1.25
23,0,3,Hamburger SV,h,1:1,56,4.00
24,1,10,Bayer 04 Leverkusen,a,1:1,52,3.71
25,0,4,VfB Stuttgart,h,2:2,55,3.93
26,0,5,SV Werder Bremen,a,0:2,70,5.00
27,0,4,Eintracht Frankfurt,h,2:1,55,3.67
28,0,1,TSG Hoffenheim,a,1:2,57,3.80
29,0,5,Sport-Club Freiburg,h,0:1,52,3.25
30,0,1,Borussia M'gladbach,a,1:1,70,4.38
31,1,9,FC Bayern München,h,3:4,50,3.12
32,0,5,FC St. Pauli,a,1:2,68,4.25
33,1,8,1. FC Union Berlin,h,1:3,40,2.50
34,0,5,1. FC Heidenheim,a,0:2,78,4.88
