spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,2,VfB Stuttgart,h,3:1,64,4.27
4,0,2,SV Werder Bremen,a,0:3,73,4.56
5,0,3,TSG Hoffenheim,h,1:1,56,3.50
6,0,3,Borussia M'gladbach,a,0:0,56,3.73
10,0,2,FC St. Pauli,h,2:1,48,3.20
11,0,2,FC Bayern München,a,6:2,11,0.69
12,1,9,1. FSV Mainz 05,h,4:0,104,6.93
13,0,4,1. FC Heidenheim,a,2:1,45,2.81
14,0,4,Borussia Dortmund,h,1:1,63,4.85
15,0,2,VfL Wolfsburg,a,3:4,52,3.25
16,0,1,Hamburger SV,h,2:1,66,4.12
17,0,2,RB Leipzig,a,2:0,44,2.75
18,0,3,FC Augsburg,a,2:2,57,3.56
19,0,2,1. FC Köln,h,2:1,56,3.50
20,0,1,VfB Stuttgart,a,1:0,51,3.19
21,0,3,SV Werder Bremen,h,1:0,56,3.50
22,0,0,TSG Hoffenheim,a,3:0,28,1.87
23,0,4,Borussia M'gladbach,h,2:1,48,3.69
24,0,3,Eintracht Frankfurt,a,2:0,27,1.93
27,0,,FC St. Pauli,a,1:2,59,3.93
