spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,FC St. Pauli,a,3:3,49,3.77
2,0,7,1. FC Union Berlin,h,3:0,80,5.71
3,0,7,1. FC Heidenheim,a,0:2,84,5.60
4,0,5,VfL Wolfsburg,h,1:0,58,4.14
5,0,5,1. FSV Mainz 05,a,0:2,68,4.25
6,0,6,RB Leipzig,h,1:1,54,3.38
7,0,2,FC Bayern München,a,2:1,53,3.31
8,0,7,1. FC Köln,h,1:0,73,4.56
9,0,6,FC Augsburg,a,0:1,63,4.20
12,0,2,Bayer 04 Leverkusen,a,1:2,59,3.69
14,1,11,Sport-Club Freiburg,a,1:1,44,3.14
21,0,,VfL Wolfsburg,a,1:2,73,6.08
22,1,13,1. FSV Mainz 05,h,4:0,97,6.06
23,0,4,RB Leipzig,a,2:2,48,3.00
24,0,-1,FC Bayern München,h,2:3,51,3.19
25,0,6,1. FC Köln,a,1:2,75,5.00
27,0,15,Hamburger SV,h,3:2,48,3.20
28,0,4,VfB Stuttgart,a,0:2,55,3.93
29,0,0,Bayer 04 Leverkusen,h,0:1,51,3.19
30,0,5,TSG Hoffenheim,a,2:1,40,2.67
31,1,16,Sport-Club Freiburg,h,4:0,90,6.00
