spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,1,SV Werder Bremen,a,3:3,43,2.87
3,0,3,Eintracht Frankfurt,h,3:1,65,4.33
17,0,5,Hamburger SV,a,0:1,66,4.71
19,0,2,SV Werder Bremen,h,1:0,76,5.07
20,0,2,Eintracht Frankfurt,a,1:3,83,5.53
21,0,3,Borussia M'gladbach,a,1:1,52,3.47
22,0,5,FC St. Pauli,h,4:0,94,5.88
24,0,5,1. FSV Mainz 05,h,1:1,68,4.25
25,0,0,Sport-Club Freiburg,a,3:3,65,4.33
26,0,4,FC Bayern München,h,1:1,64,4.00
27,0,3,1. FC Heidenheim,a,3:3,54,3.60
28,0,7,VfL Wolfsburg,h,6:3,87,6.21
29,0,7,Borussia Dortmund,a,0:1,63,4.50
30,0,5,FC Augsburg,h,1:2,74,4.93
31,0,3,1. FC Köln,a,1:2,66,4.12
32,0,5,RB Leipzig,h,4:1,89,5.93
33,0,2,VfB Stuttgart,a,3:1,45,3.21
34,0,8,Hamburger SV,h,1:1,80,5.33
