spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,3,SV Werder Bremen,h,0:4,24,1.50
4,0,2,Bayer 04 Leverkusen,a,1:1,63,3.94
7,0,0,1. FC Union Berlin,a,3:1,38,2.38
8,0,1,FC Bayern München,h,0:3,25,1.56
9,0,4,FC St. Pauli,a,0:4,104,6.50
10,0,1,1. FC Köln,h,3:1,68,4.53
11,0,4,1. FC Heidenheim,a,0:3,88,5.87
12,0,2,RB Leipzig,h,0:0,53,3.53
13,0,5,1. FSV Mainz 05,a,0:1,58,4.46
14,0,2,VfL Wolfsburg,h,1:3,42,2.80
15,0,2,Borussia Dortmund,a,2:0,33,2.20
16,0,1,FC Augsburg,h,4:0,81,5.06
18,0,2,Hamburger SV,a,0:0,48,3.43
28,0,3,1. FC Heidenheim,h,2:2,62,3.88
30,0,0,1. FSV Mainz 05,h,1:1,51,3.40
31,0,3,VfL Wolfsburg,a,0:0,50,3.85
32,0,2,Borussia Dortmund,h,1:0,56,4.00
33,1,12,FC Augsburg,a,3:1,48,3.20
34,0,2,TSG Hoffenheim,h,4:0,84,5.60
