spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
7,0,3,1. FC Heidenheim,a,2:2,66,4.71
8,0,7,1. FC Union Berlin,h,1:0,67,4.19
9,0,7,1. FSV Mainz 05,a,1:1,49,3.27
10,0,7,VfL Wolfsburg,h,2:1,76,5.43
11,0,6,RB Leipzig,a,2:0,58,4.14
12,0,4,1. FC Köln,h,1:1,48,3.43
13,0,2,Hamburger SV,a,3:2,34,2.62
14,0,0,VfB Stuttgart,h,0:4,23,1.44
15,0,7,FC Augsburg,a,0:0,57,3.80
17,0,4,Borussia Dortmund,a,3:0,24,1.60
18,0,4,Eintracht Frankfurt,h,3:3,54,4.15
19,0,2,Bayer 04 Leverkusen,a,1:0,53,3.53
28,0,5,RB Leipzig,h,1:2,48,3.00
29,0,4,1. FC Köln,a,3:1,33,2.20
30,0,2,Hamburger SV,h,3:1,71,5.46
31,0,4,VfB Stuttgart,a,1:1,54,3.86
32,0,3,FC Augsburg,h,1:3,51,3.40
33,0,2,TSG Hoffenheim,a,1:0,40,2.67
34,0,3,Borussia Dortmund,h,0:2,46,3.07
