spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
18,0,4,RB Leipzig,a,1:5,92,6.13
19,0,2,FC Augsburg,h,1:2,59,3.69
20,0,3,Hamburger SV,a,2:2,59,4.21
21,0,2,TSG Hoffenheim,h,5:1,104,6.50
22,0,2,SV Werder Bremen,a,0:3,82,5.47
23,0,3,Eintracht Frankfurt,h,3:2,74,5.29
24,0,3,Borussia Dortmund,a,2:3,67,5.58
25,0,9,Borussia M'gladbach,h,4:1,99,6.19
28,0,3,Sport-Club Freiburg,a,2:3,72,4.50
29,1,13,FC St. Pauli,a,0:5,114,7.12
30,0,3,VfB Stuttgart,h,4:2,90,5.62
31,1,10,1. FSV Mainz 05,a,3:4,70,4.38
32,0,3,1. FC Heidenheim,h,3:3,67,4.19
33,0,2,VfL Wolfsburg,a,0:1,85,5.31
34,0,0,1. FC Köln,h,5:1,92,5.75
