spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,9,Bayer 04 Leverkusen,a,1:2,57,3.80
2,0,6,Eintracht Frankfurt,h,1:3,50,3.33
3,0,13,1. FC Union Berlin,a,2:4,77,5.13
5,0,1,Sport-Club Freiburg,a,1:1,50,3.12
6,0,4,1. FC Köln,h,0:1,48,3.20
7,0,4,FC St. Pauli,a,0:3,82,5.86
8,1,8,1. FC Heidenheim,h,3:1,70,4.38
9,0,1,VfL Wolfsburg,a,2:3,70,4.38
10,1,9,RB Leipzig,h,3:1,76,4.75
11,0,3,1. FSV Mainz 05,a,1:1,57,4.07
12,0,2,FC Augsburg,h,3:0,79,4.94
13,0,4,Borussia Dortmund,a,2:0,39,2.44
14,1,9,Hamburger SV,h,4:1,80,5.33
15,0,1,VfB Stuttgart,a,0:0,39,3.00
16,0,3,SV Werder Bremen,a,0:2,60,4.62
17,1,11,Borussia M'gladbach,h,5:1,102,6.38
18,0,2,Bayer 04 Leverkusen,h,1:0,59,3.93
20,0,1,1. FC Union Berlin,h,3:1,61,4.36
24,0,2,FC St. Pauli,h,0:1,65,4.64
25,1,8,1. FC Heidenheim,a,2:4,75,4.69
26,0,1,VfL Wolfsburg,h,1:1,65,4.64
27,0,1,RB Leipzig,a,5:0,3,0.19
28,0,3,1. FSV Mainz 05,h,1:2,48,3.43
29,0,1,FC Augsburg,a,2:2,60,4.29
30,0,3,Borussia Dortmund,h,2:1,52,3.47
31,1,6,Hamburger SV,a,1:2,57,3.56
32,0,2,VfB Stuttgart,h,3:3,57,4.75
33,0,2,SV Werder Bremen,h,1:0,75,5.36
34,0,-5,Borussia M'gladbach,a,4:0,13,0.81
