spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,-2,FC Augsburg,h,1:3,41,2.73
2,0,2,1. FC Köln,a,4:1,30,1.88
3,0,2,VfB Stuttgart,h,3:1,64,4.27
4,0,2,SV Werder Bremen,a,0:3,73,4.56
5,0,3,TSG Hoffenheim,h,1:1,56,3.50
6,0,2,Borussia M'gladbach,a,0:0,56,3.73
7,0,2,Eintracht Frankfurt,h,2:2,52,3.25
11,0,2,FC Bayern München,a,6:2,11,0.69
20,0,2,Borussia Dortmund,a,3:2,40,2.50
21,0,5,Hamburger SV,h,0:2,53,3.31
22,0,3,FC Augsburg,a,1:0,47,3.13
23,1,8,VfB Stuttgart,h,3:3,41,2.56
24,0,0,SV Werder Bremen,a,2:0,43,2.69
25,0,2,TSG Hoffenheim,h,2:4,37,2.31
26,0,1,Eintracht Frankfurt,a,1:0,38,2.38
27,0,2,Bayer 04 Leverkusen,h,3:3,57,3.56
28,0,4,Borussia M'gladbach,a,2:2,70,4.67
29,0,2,1. FC Union Berlin,h,3:1,71,4.73
31,1,9,FC St. Pauli,h,2:0,62,4.77
32,1,9,FC Bayern München,a,3:3,57,4.07
33,0,3,1. FC Köln,a,1:3,80,5.33
34,0,2,1. FSV Mainz 05,h,0:2,47,2.94
