spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,2,1. FC Köln,h,0:1,48,3.00
3,0,2,RB Leipzig,h,0:1,47,2.94
4,0,1,FC Augsburg,a,1:4,73,4.56
5,0,6,Borussia Dortmund,h,0:2,35,2.19
8,0,3,VfB Stuttgart,a,2:1,33,2.36
9,1,12,SV Werder Bremen,h,1:1,54,3.86
10,0,3,Eintracht Frankfurt,a,1:0,37,2.85
11,0,1,TSG Hoffenheim,h,1:1,53,3.53
13,0,5,Borussia M'gladbach,h,0:1,46,3.29
15,0,3,FC St. Pauli,h,0:0,51,3.92
16,0,4,1. FC Union Berlin,a,2:2,50,3.57
17,1,11,1. FC Heidenheim,h,2:1,57,3.80
18,0,2,1. FC Köln,a,2:1,53,3.79
19,0,5,VfL Wolfsburg,h,3:1,72,4.80
20,0,3,RB Leipzig,a,1:2,66,4.12
21,0,2,FC Augsburg,h,2:0,65,4.33
22,0,1,Borussia Dortmund,a,4:0,20,1.25
24,0,3,Bayer 04 Leverkusen,a,1:1,52,3.71
25,0,1,VfB Stuttgart,h,2:2,55,3.93
26,0,2,SV Werder Bremen,a,0:2,70,5.00
27,0,2,Eintracht Frankfurt,h,2:1,55,3.67
28,0,2,TSG Hoffenheim,a,1:2,57,3.80
29,0,3,Sport-Club Freiburg,h,0:1,52,3.25
30,0,2,Borussia M'gladbach,a,1:1,70,4.38
31,0,3,FC Bayern München,h,3:4,50,3.12
32,0,6,FC St. Pauli,a,1:2,68,4.25
34,0,4,1. FC Heidenheim,a,0:2,78,4.88
