spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
8,0,3,Borussia M'gladbach,a,0:3,97,6.06
13,0,4,VfB Stuttgart,a,0:5,96,6.00
15,0,5,1. FC Heidenheim,a,0:4,104,7.43
19,0,3,FC Augsburg,h,1:2,59,3.69
22,0,5,SV Werder Bremen,a,0:3,82,5.47
23,0,2,Eintracht Frankfurt,h,3:2,74,5.29
24,0,1,Borussia Dortmund,a,2:3,67,5.58
25,0,3,Borussia M'gladbach,h,4:1,99,6.19
27,0,5,1. FC Union Berlin,h,4:0,89,6.36
30,0,5,VfB Stuttgart,h,4:2,90,5.62
31,0,5,1. FSV Mainz 05,a,3:4,70,4.38
32,0,0,1. FC Heidenheim,h,3:3,67,4.19
33,0,8,VfL Wolfsburg,a,0:1,85,5.31
34,0,3,1. FC Köln,h,5:1,92,5.75
