spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
11,0,3,Sport-Club Freiburg,h,6:2,98,6.12
13,0,1,VfB Stuttgart,a,0:5,96,6.00
14,0,3,1. FSV Mainz 05,h,2:2,67,4.47
15,0,8,1. FC Heidenheim,a,0:4,104,7.43
16,0,3,VfL Wolfsburg,h,8:1,107,6.69
17,0,4,1. FC Köln,a,1:3,75,5.00
18,0,2,RB Leipzig,a,1:5,92,6.13
19,1,12,FC Augsburg,h,1:2,59,3.69
21,0,4,TSG Hoffenheim,h,5:1,104,6.50
23,0,0,Eintracht Frankfurt,h,3:2,74,5.29
27,0,2,1. FC Union Berlin,h,4:0,89,6.36
29,0,3,FC St. Pauli,a,0:5,114,7.12
30,0,4,VfB Stuttgart,h,4:2,90,5.62
31,0,3,1. FSV Mainz 05,a,3:4,70,4.38
32,0,4,1. FC Heidenheim,h,3:3,67,4.19
33,0,4,VfL Wolfsburg,a,0:1,85,5.31
