spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
3,0,4,Hamburger SV,h,5:0,106,6.62
4,0,3,TSG Hoffenheim,a,1:4,76,4.75
5,0,8,SV Werder Bremen,h,4:0,105,6.56
6,0,,Eintracht Frankfurt,a,0:3,71,5.07
7,0,1,Borussia Dortmund,h,2:1,52,4.00
8,0,6,Borussia M'gladbach,a,0:3,97,6.06
9,0,9,Bayer 04 Leverkusen,h,3:0,80,5.00
10,0,5,1. FC Union Berlin,a,2:2,58,4.14
11,0,4,Sport-Club Freiburg,h,6:2,98,6.12
12,0,5,FC St. Pauli,h,3:1,91,5.69
13,0,1,VfB Stuttgart,a,0:5,96,6.00
14,0,1,1. FSV Mainz 05,h,2:2,67,4.47
16,0,5,VfL Wolfsburg,h,8:1,107,6.69
17,0,3,1. FC Köln,a,1:3,75,5.00
18,0,2,RB Leipzig,a,1:5,92,6.13
19,0,2,FC Augsburg,h,1:2,59,3.69
22,0,3,SV Werder Bremen,a,0:3,82,5.47
23,0,3,Eintracht Frankfurt,h,3:2,74,5.29
24,0,,Borussia Dortmund,a,2:3,67,5.58
25,0,6,Borussia M'gladbach,h,4:1,99,6.19
26,0,,Bayer 04 Leverkusen,a,1:1,48,3.69
27,0,2,1. FC Union Berlin,h,4:0,89,6.36
28,2,19,Sport-Club Freiburg,a,2:3,72,4.50
29,0,9,FC St. Pauli,a,0:5,114,7.12
33,0,9,VfL Wolfsburg,a,0:1,85,5.31
34,1,13,1. FC Köln,h,5:1,92,5.75
