spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,1. FC Heidenheim,a,1:3,60,4.62
2,0,1,1. FSV Mainz 05,h,1:1,40,2.86
3,0,5,1. FC Köln,h,3:3,60,4.62
4,0,2,Borussia Dortmund,a,1:0,49,3.06
5,0,4,RB Leipzig,h,0:1,54,3.38
8,0,1,Hamburger SV,a,0:1,55,3.44
10,0,0,SV Werder Bremen,a,2:1,44,3.38
11,0,0,Bayer 04 Leverkusen,h,1:3,44,2.75
12,0,1,Eintracht Frankfurt,a,1:1,48,3.43
13,1,9,1. FC Union Berlin,h,3:1,65,4.06
14,2,15,Borussia M'gladbach,a,1:3,58,4.14
15,0,5,Sport-Club Freiburg,h,3:4,46,3.07
16,0,-1,FC Bayern München,a,8:1,-2,-0.14
17,0,2,FC St. Pauli,h,2:1,62,3.88
18,0,4,1. FC Heidenheim,h,1:1,60,4.00
19,0,0,1. FSV Mainz 05,a,3:1,38,2.38
20,0,3,1. FC Köln,a,1:0,46,3.07
26,0,2,TSG Hoffenheim,a,1:1,51,3.64
27,0,2,SV Werder Bremen,h,0:1,48,3.00
28,0,6,Bayer 04 Leverkusen,a,6:3,38,2.53
29,0,4,Eintracht Frankfurt,h,1:2,53,3.31
30,1,11,1. FC Union Berlin,a,1:2,63,4.85
31,0,4,Borussia M'gladbach,h,0:0,48,3.43
32,0,4,Sport-Club Freiburg,a,1:1,49,3.77
33,0,3,FC Bayern München,h,0:1,53,3.53
