spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,6,Sport-Club Freiburg,a,1:3,62,4.77
2,1,12,FC Bayern München,h,2:3,54,3.60
3,0,2,FC St. Pauli,a,2:1,54,3.38
4,0,3,1. FSV Mainz 05,h,1:4,43,2.69
5,0,1,1. FC Heidenheim,a,2:1,44,2.75
6,0,2,VfL Wolfsburg,h,3:1,65,4.64
7,0,4,1. FC Köln,a,1:1,42,2.80
8,0,1,RB Leipzig,h,0:6,20,1.25
12,0,3,TSG Hoffenheim,a,3:0,46,2.88
13,0,3,Bayer 04 Leverkusen,h,2:0,74,4.93
14,0,5,Eintracht Frankfurt,a,1:0,57,3.56
15,0,7,SV Werder Bremen,h,0:0,54,3.38
16,0,3,Borussia M'gladbach,a,4:0,34,2.12
17,0,2,1. FC Union Berlin,h,1:1,52,3.25
18,0,4,Sport-Club Freiburg,h,2:2,52,3.47
21,0,3,1. FSV Mainz 05,a,2:0,45,2.81
22,0,3,1. FC Heidenheim,h,1:0,65,4.33
23,0,1,VfL Wolfsburg,a,2:3,65,4.06
24,0,2,1. FC Köln,h,2:0,72,4.50
25,0,2,RB Leipzig,a,2:1,56,3.50
26,0,1,Borussia Dortmund,a,2:0,31,1.94
27,0,1,VfB Stuttgart,h,2:5,33,2.20
29,0,2,TSG Hoffenheim,h,2:2,47,3.36
31,0,2,Eintracht Frankfurt,h,1:1,62,4.43
32,1,12,SV Werder Bremen,a,1:3,73,4.56
33,0,1,Borussia M'gladbach,h,3:1,65,4.06
