spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,5,1. FC Union Berlin,a,2:1,54,3.60
3,0,5,Sport-Club Freiburg,a,3:1,36,2.57
4,0,8,FC St. Pauli,h,2:0,83,5.93
5,0,2,1. FC Köln,a,1:2,71,4.73
6,0,10,1. FC Heidenheim,h,1:0,78,5.57
7,0,6,VfL Wolfsburg,a,0:3,94,5.88
8,0,4,1. FSV Mainz 05,h,2:1,71,4.44
9,0,1,RB Leipzig,a,3:1,47,3.36
11,0,4,Borussia Dortmund,a,3:3,54,3.86
12,0,2,Hamburger SV,a,2:1,50,3.12
14,0,5,SV Werder Bremen,a,0:4,102,6.80
15,0,6,TSG Hoffenheim,h,0:0,45,3.46
16,0,2,Bayer 04 Leverkusen,a,1:4,79,5.64
17,0,0,Eintracht Frankfurt,h,3:2,73,5.21
18,0,6,1. FC Union Berlin,h,1:1,63,4.85
19,0,8,Borussia M'gladbach,a,0:3,82,5.12
20,0,7,Sport-Club Freiburg,h,1:0,67,4.47
22,0,3,1. FC Köln,h,3:1,71,4.44
23,0,3,1. FC Heidenheim,a,3:3,61,3.81
25,0,4,1. FSV Mainz 05,a,2:2,61,3.81
27,0,4,FC Augsburg,a,2:5,85,5.31
28,0,2,Borussia Dortmund,h,0:2,43,3.07
29,0,8,Hamburger SV,h,4:0,98,7.00
30,0,4,FC Bayern München,a,4:2,60,3.75
32,0,1,TSG Hoffenheim,a,3:3,50,3.33
33,0,5,Bayer 04 Leverkusen,h,3:1,75,5.36
34,0,3,Eintracht Frankfurt,a,2:2,59,4.54
