spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,VfB Stuttgart,h,2:1,58,3.87
2,0,0,Borussia Dortmund,a,3:0,26,1.62
3,1,3,TSG Hoffenheim,h,2:4,31,2.07
5,0,2,Hamburger SV,h,0:0,48,3.43
6,0,2,Bayer 04 Leverkusen,a,2:0,31,1.94
7,0,1,Borussia M'gladbach,h,3:1,69,4.60
8,0,1,SV Werder Bremen,a,1:0,44,2.75
9,0,3,Sport-Club Freiburg,h,0:0,49,3.27
10,0,3,FC Bayern München,h,2:2,50,3.12
11,0,5,FC St. Pauli,a,0:1,54,3.38
12,0,0,1. FC Heidenheim,h,1:2,34,2.12
13,0,3,VfL Wolfsburg,a,3:1,46,2.88
26,0,,Sport-Club Freiburg,a,0:1,59,3.93
27,0,3,FC Bayern München,a,4:0,19,1.19
28,0,3,FC St. Pauli,h,1:1,54,3.86
29,0,0,1. FC Heidenheim,a,3:1,29,1.81
30,0,2,VfL Wolfsburg,h,1:2,52,3.71
31,0,-1,RB Leipzig,a,3:1,41,2.56
32,1,12,1. FC Köln,h,2:2,57,3.56
33,0,1,1. FSV Mainz 05,a,1:3,80,5.00
34,0,6,FC Augsburg,h,4:0,88,5.87
