spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,Hamburger SV,h,0:0,62,3.88
2,0,2,VfB Stuttgart,a,1:0,56,3.50
3,0,2,SV Werder Bremen,h,0:4,24,1.50
4,0,1,Bayer 04 Leverkusen,a,1:1,63,3.94
5,0,0,Eintracht Frankfurt,h,4:6,57,3.56
19,0,,VfB Stuttgart,h,0:3,20,1.43
20,0,3,SV Werder Bremen,a,1:1,52,3.47
21,0,,Bayer 04 Leverkusen,h,1:1,52,3.71
25,0,3,FC Bayern München,a,4:1,26,1.73
26,0,,FC St. Pauli,h,2:0,63,4.20
29,0,4,RB Leipzig,a,1:0,56,3.50
30,0,1,1. FSV Mainz 05,h,1:1,51,3.40
31,0,2,VfL Wolfsburg,a,0:0,50,3.85
32,0,3,Borussia Dortmund,h,1:0,56,4.00
33,0,1,FC Augsburg,a,3:1,48,3.20
