spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,1,Borussia Dortmund,a,3:0,26,1.62
3,0,3,TSG Hoffenheim,h,2:4,31,2.07
4,0,1,Eintracht Frankfurt,a,3:4,62,4.13
5,0,2,Hamburger SV,h,0:0,48,3.43
6,0,2,Bayer 04 Leverkusen,a,2:0,31,1.94
7,0,4,Borussia M'gladbach,h,3:1,69,4.60
8,0,1,SV Werder Bremen,a,1:0,44,2.75
9,0,2,Sport-Club Freiburg,h,0:0,49,3.27
10,0,1,FC Bayern München,h,2:2,50,3.12
11,0,1,FC St. Pauli,a,0:1,54,3.38
14,1,10,RB Leipzig,h,3:1,70,4.38
15,0,2,1. FC Köln,a,0:1,56,3.50
22,0,2,Hamburger SV,a,3:2,48,3.00
23,0,3,Bayer 04 Leverkusen,h,1:0,59,4.21
25,0,1,SV Werder Bremen,h,1:4,1,0.07
26,0,2,Sport-Club Freiburg,a,0:1,59,3.93
27,0,1,FC Bayern München,a,4:0,19,1.19
29,0,2,1. FC Heidenheim,a,3:1,29,1.81
30,0,2,VfL Wolfsburg,h,1:2,52,3.71
32,0,2,1. FC Köln,h,2:2,57,3.56
33,0,5,1. FSV Mainz 05,a,1:3,80,5.00
34,0,4,FC Augsburg,h,4:0,88,5.87
