spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
13,1,6,VfL Wolfsburg,a,3:1,46,2.88
14,0,2,RB Leipzig,h,3:1,70,4.38
18,0,4,VfB Stuttgart,a,1:1,58,4.14
19,0,1,Borussia Dortmund,h,0:3,32,2.13
20,0,0,TSG Hoffenheim,a,3:1,35,2.19
21,0,2,Eintracht Frankfurt,h,1:1,42,2.80
22,0,2,Hamburger SV,a,3:2,48,3.00
23,0,4,Bayer 04 Leverkusen,h,1:0,59,4.21
24,0,3,Borussia M'gladbach,a,1:0,39,2.60
25,0,0,SV Werder Bremen,h,1:4,1,0.07
26,0,6,Sport-Club Freiburg,a,0:1,59,3.93
27,0,2,FC Bayern München,a,4:0,19,1.19
32,0,4,1. FC Köln,h,2:2,57,3.56
