spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
2,0,3,Eintracht Frankfurt,h,1:3,50,3.33
3,0,,1. FC Union Berlin,a,2:4,77,5.13
4,0,7,FC Bayern München,h,1:4,38,2.38
5,0,3,Sport-Club Freiburg,a,1:1,50,3.12
6,0,3,1. FC Köln,h,0:1,48,3.20
8,0,1,1. FC Heidenheim,h,3:1,70,4.38
10,0,2,RB Leipzig,h,3:1,76,4.75
12,0,1,FC Augsburg,h,3:0,79,4.94
17,0,5,Borussia M'gladbach,h,5:1,102,6.38
19,0,,Eintracht Frankfurt,a,1:3,57,4.38
21,0,4,FC Bayern München,a,5:1,19,1.19
25,0,2,1. FC Heidenheim,a,2:4,75,4.69
27,0,1,RB Leipzig,a,5:0,3,0.19
29,0,2,FC Augsburg,a,2:2,60,4.29
32,0,,VfB Stuttgart,h,3:3,57,4.75
