spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,8,Eintracht Frankfurt,a,4:1,20,1.43
2,0,2,Bayer 04 Leverkusen,h,3:3,51,3.40
3,1,8,Borussia M'gladbach,a,0:4,92,5.75
4,0,3,Sport-Club Freiburg,h,0:3,27,1.69
5,0,1,FC Bayern München,a,4:0,37,2.31
6,0,1,FC St. Pauli,h,1:0,61,4.07
7,0,2,1. FC Heidenheim,a,2:2,66,4.71
8,0,3,1. FC Union Berlin,h,1:0,67,4.19
9,0,1,1. FSV Mainz 05,a,1:1,49,3.27
10,0,3,VfL Wolfsburg,h,2:1,76,5.43
11,0,1,RB Leipzig,a,2:0,58,4.14
13,1,8,Hamburger SV,a,3:2,34,2.62
14,0,2,VfB Stuttgart,h,0:4,23,1.44
15,0,3,FC Augsburg,a,0:0,57,3.80
16,0,2,TSG Hoffenheim,h,0:2,54,3.60
17,0,3,Borussia Dortmund,a,3:0,24,1.60
18,1,7,Eintracht Frankfurt,h,3:3,54,4.15
19,0,4,Bayer 04 Leverkusen,a,1:0,53,3.53
20,0,3,Borussia M'gladbach,h,1:1,68,4.53
21,0,4,Sport-Club Freiburg,a,1:0,49,3.27
22,0,2,FC Bayern München,h,0:3,41,2.56
23,0,5,FC St. Pauli,a,2:1,38,2.71
24,0,1,1. FC Heidenheim,h,2:0,47,3.36
25,0,2,1. FC Union Berlin,a,1:4,93,6.20
26,0,3,1. FSV Mainz 05,h,0:2,46,2.88
27,1,10,VfL Wolfsburg,a,0:1,52,3.71
28,0,2,RB Leipzig,h,1:2,48,3.00
29,0,4,1. FC Köln,a,3:1,33,2.20
30,0,6,Hamburger SV,h,3:1,71,5.46
31,0,1,VfB Stuttgart,a,1:1,54,3.86
32,0,2,FC Augsburg,h,1:3,51,3.40
33,0,1,TSG Hoffenheim,a,1:0,40,2.67
34,0,2,Borussia Dortmund,h,0:2,46,3.07
