spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
21,0,2,1. FC Köln,a,1:2,74,4.93
22,1,16,VfL Wolfsburg,h,2:2,74,4.62
23,0,5,Borussia Dortmund,h,2:2,69,4.60
24,0,1,Hamburger SV,a,1:2,57,4.38
25,0,2,FC Augsburg,h,2:1,68,4.53
26,0,3,VfB Stuttgart,a,1:0,35,2.33
27,2,20,TSG Hoffenheim,h,5:0,102,6.38
29,0,2,Borussia M'gladbach,h,1:0,72,4.80
30,0,1,Eintracht Frankfurt,a,1:3,75,5.36
31,0,2,1. FC Union Berlin,h,3:1,77,4.81
32,0,5,Bayer 04 Leverkusen,a,4:1,40,2.50
33,0,0,FC St. Pauli,h,2:1,64,4.57
34,0,4,Sport-Club Freiburg,a,4:1,37,2.31
