spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,1. FC Köln,h,0:1,48,3.00
2,0,3,VfL Wolfsburg,a,1:1,59,3.93
3,0,3,RB Leipzig,h,0:1,47,2.94
4,0,6,FC Augsburg,a,1:4,73,4.56
5,0,2,Borussia Dortmund,h,0:2,35,2.19
6,0,1,Hamburger SV,a,4:0,35,2.19
7,0,1,Bayer 04 Leverkusen,h,3:4,37,2.47
8,0,1,VfB Stuttgart,a,2:1,33,2.36
9,0,2,SV Werder Bremen,h,1:1,54,3.86
11,0,2,TSG Hoffenheim,h,1:1,53,3.53
12,0,2,Sport-Club Freiburg,a,4:0,9,0.60
13,0,5,Borussia M'gladbach,h,0:1,46,3.29
15,0,8,FC St. Pauli,h,0:0,51,3.92
