spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,Eintracht Frankfurt,a,4:1,20,1.43
2,0,6,Bayer 04 Leverkusen,h,3:3,51,3.40
4,0,2,Sport-Club Freiburg,h,0:3,27,1.69
8,0,0,1. FC Union Berlin,h,1:0,67,4.19
9,0,2,1. FSV Mainz 05,a,1:1,49,3.27
10,0,2,VfL Wolfsburg,h,2:1,76,5.43
11,0,4,RB Leipzig,a,2:0,58,4.14
12,0,3,1. FC Köln,h,1:1,48,3.43
13,0,1,Hamburger SV,a,3:2,34,2.62
14,0,2,VfB Stuttgart,h,0:4,23,1.44
15,0,3,FC Augsburg,a,0:0,57,3.80
16,0,3,TSG Hoffenheim,h,0:2,54,3.60
18,0,,Eintracht Frankfurt,h,3:3,54,4.15
19,0,3,Bayer 04 Leverkusen,a,1:0,53,3.53
20,1,9,Borussia M'gladbach,h,1:1,68,4.53
21,0,2,Sport-Club Freiburg,a,1:0,49,3.27
23,0,2,FC St. Pauli,a,2:1,38,2.71
24,0,2,1. FC Heidenheim,h,2:0,47,3.36
25,0,3,1. FC Union Berlin,a,1:4,93,6.20
26,0,3,1. FSV Mainz 05,h,0:2,46,2.88
