spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,SV Werder Bremen,h,4:1,89,5.56
2,0,5,TSG Hoffenheim,a,1:3,68,4.25
4,0,2,1. FC Union Berlin,h,3:4,57,3.56
6,0,2,FC Bayern München,h,0:3,25,1.56
7,0,1,Sport-Club Freiburg,a,2:2,40,2.50
8,0,,FC St. Pauli,h,2:0,65,4.64
9,0,7,1. FC Heidenheim,a,1:1,73,4.56
10,0,2,1. FSV Mainz 05,h,1:0,63,3.94
13,0,0,RB Leipzig,a,6:0,8,0.50
15,1,9,Hamburger SV,a,1:1,52,3.25
16,0,3,Borussia Dortmund,h,3:3,56,3.73
19,0,2,TSG Hoffenheim,h,1:3,35,2.33
20,0,1,Bayer 04 Leverkusen,h,1:3,33,2.20
21,0,2,1. FC Union Berlin,a,1:1,41,2.93
22,0,6,Borussia M'gladbach,h,3:0,87,5.44
23,0,2,FC Bayern München,a,3:2,45,2.81
24,0,3,Sport-Club Freiburg,h,2:0,81,5.06
25,0,5,FC St. Pauli,a,0:0,54,4.15
26,0,3,1. FC Heidenheim,h,1:0,58,4.14
27,0,3,1. FSV Mainz 05,a,2:1,51,3.19
28,0,6,1. FC Köln,h,2:2,73,4.56
29,0,4,VfL Wolfsburg,a,1:2,61,4.07
30,1,8,RB Leipzig,h,1:3,54,3.60
31,0,6,FC Augsburg,a,1:1,61,4.36
32,0,2,Hamburger SV,h,1:2,40,2.50
