spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
16,0,2,TSG Hoffenheim,h,0:2,54,3.60
17,0,2,Borussia Dortmund,a,3:0,24,1.60
18,1,9,Eintracht Frankfurt,h,3:3,54,4.15
19,0,3,Bayer 04 Leverkusen,a,1:0,53,3.53
20,0,2,Borussia M'gladbach,h,1:1,68,4.53
21,0,,Sport-Club Freiburg,a,1:0,49,3.27
23,1,8,FC St. Pauli,a,2:1,38,2.71
24,1,7,1. FC Heidenheim,h,2:0,47,3.36
28,0,3,RB Leipzig,h,1:2,48,3.00
29,0,2,1. FC Köln,a,3:1,33,2.20
30,0,1,Hamburger SV,h,3:1,71,5.46
31,0,3,VfB Stuttgart,a,1:1,54,3.86
32,0,2,FC Augsburg,h,1:3,51,3.40
