spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
5,0,1,TSG Hoffenheim,h,1:1,56,3.50
8,0,2,Bayer 04 Leverkusen,a,2:0,39,2.44
9,0,4,1. FC Union Berlin,a,0:0,54,3.86
10,0,,FC St. Pauli,h,2:1,48,3.20
11,0,-1,FC Bayern München,a,6:2,11,0.69
12,0,,1. FSV Mainz 05,h,4:0,104,6.93
13,0,-1,1. FC Heidenheim,a,2:1,45,2.81
18,0,3,FC Augsburg,a,2:2,57,3.56
19,0,0,1. FC Köln,h,2:1,56,3.50
20,0,2,VfB Stuttgart,a,1:0,51,3.19
21,0,6,SV Werder Bremen,h,1:0,56,3.50
22,0,0,TSG Hoffenheim,a,3:0,28,1.87
