spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,RB Leipzig,h,6:0,108,7.20
4,0,9,TSG Hoffenheim,a,1:4,76,4.75
7,0,,Borussia Dortmund,h,2:1,52,4.00
8,0,6,Borussia M'gladbach,a,0:3,97,6.06
9,0,6,Bayer 04 Leverkusen,h,3:0,80,5.00
11,0,3,Sport-Club Freiburg,h,6:2,98,6.12
12,0,8,FC St. Pauli,h,3:1,91,5.69
13,0,4,VfB Stuttgart,a,0:5,96,6.00
14,0,3,1. FSV Mainz 05,h,2:2,67,4.47
17,1,12,1. FC Köln,a,1:3,75,5.00
18,0,,RB Leipzig,a,1:5,92,6.13
19,0,3,FC Augsburg,h,1:2,59,3.69
20,0,3,Hamburger SV,a,2:2,59,4.21
22,0,5,SV Werder Bremen,a,0:3,82,5.47
23,0,1,Eintracht Frankfurt,h,3:2,74,5.29
24,0,,Borussia Dortmund,a,2:3,67,5.58
25,0,6,Borussia M'gladbach,h,4:1,99,6.19
26,0,,Bayer 04 Leverkusen,a,1:1,48,3.69
27,0,4,1. FC Union Berlin,h,4:0,89,6.36
28,0,3,Sport-Club Freiburg,a,2:3,72,4.50
29,0,7,FC St. Pauli,a,0:5,114,7.12
30,0,5,VfB Stuttgart,h,4:2,90,5.62
31,0,4,1. FSV Mainz 05,a,3:4,70,4.38
32,0,7,1. FC Heidenheim,h,3:3,67,4.19
33,0,9,VfL Wolfsburg,a,0:1,85,5.31
