spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
8,0,2,FC Augsburg,a,0:6,109,6.81
10,0,1,TSG Hoffenheim,a,3:1,54,3.60
15,0,,Bayer 04 Leverkusen,h,1:3,53,3.79
16,0,4,FC St. Pauli,a,1:1,47,3.36
17,0,3,Sport-Club Freiburg,h,2:0,80,5.00
19,0,5,1. FC Heidenheim,a,0:3,86,5.73
20,0,2,1. FSV Mainz 05,h,1:2,51,3.64
29,0,5,Borussia M'gladbach,h,1:0,72,4.80
30,0,5,Eintracht Frankfurt,a,1:3,75,5.36
31,0,3,1. FC Union Berlin,h,3:1,77,4.81
32,0,8,Bayer 04 Leverkusen,a,4:1,40,2.50
