spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,FC Augsburg,h,1:3,41,2.73
3,0,5,VfB Stuttgart,h,3:1,64,4.27
4,0,1,SV Werder Bremen,a,0:3,73,4.56
5,0,2,TSG Hoffenheim,h,1:1,56,3.50
7,0,-1,Eintracht Frankfurt,h,2:2,52,3.25
8,0,2,Bayer 04 Leverkusen,a,2:0,39,2.44
9,0,3,1. FC Union Berlin,a,0:0,54,3.86
10,0,1,FC St. Pauli,h,2:1,48,3.20
11,0,-1,FC Bayern München,a,6:2,11,0.69
17,0,2,RB Leipzig,a,2:0,44,2.75
18,0,0,FC Augsburg,a,2:2,57,3.56
20,0,3,VfB Stuttgart,a,1:0,51,3.19
21,0,3,SV Werder Bremen,h,1:0,56,3.50
25,0,3,Bayer 04 Leverkusen,h,3:3,69,4.60
26,0,5,1. FC Union Berlin,h,0:1,51,3.64
27,0,2,FC St. Pauli,a,1:2,59,3.93
29,0,3,1. FSV Mainz 05,a,0:1,53,3.31
30,0,2,1. FC Heidenheim,h,2:1,69,4.31
33,0,0,Hamburger SV,a,3:2,40,2.50
34,0,6,RB Leipzig,h,4:1,81,5.40
