spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,2,1. FC Köln,h,0:1,48,3.00
6,0,2,Hamburger SV,a,4:0,35,2.19
7,0,1,Bayer 04 Leverkusen,h,3:4,37,2.47
8,0,2,VfB Stuttgart,a,2:1,33,2.36
9,0,5,SV Werder Bremen,h,1:1,54,3.86
10,0,1,Eintracht Frankfurt,a,1:0,37,2.85
11,0,5,TSG Hoffenheim,h,1:1,53,3.53
12,0,-1,Sport-Club Freiburg,a,4:0,9,0.60
13,0,0,Borussia M'gladbach,h,0:1,46,3.29
14,0,1,FC Bayern München,a,2:2,58,4.46
15,0,1,FC St. Pauli,h,0:0,51,3.92
16,1,10,1. FC Union Berlin,a,2:2,50,3.57
19,0,3,VfL Wolfsburg,h,3:1,72,4.80
20,0,1,RB Leipzig,a,1:2,66,4.12
