spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,3,SV Werder Bremen,h,4:1,89,5.56
2,0,3,TSG Hoffenheim,a,1:3,68,4.25
3,0,-3,Bayer 04 Leverkusen,a,3:1,16,1.00
4,0,-1,1. FC Union Berlin,h,3:4,57,3.56
5,0,4,Borussia M'gladbach,a,4:6,89,5.56
8,0,,FC St. Pauli,h,2:0,65,4.64
9,0,3,1. FC Heidenheim,a,1:1,73,4.56
10,0,4,1. FSV Mainz 05,h,1:0,63,3.94
11,0,1,1. FC Köln,a,3:4,69,4.60
12,0,1,VfL Wolfsburg,h,1:1,55,3.67
13,0,-1,RB Leipzig,a,6:0,8,0.50
14,0,6,FC Augsburg,h,1:0,57,3.56
15,0,2,Hamburger SV,a,1:1,52,3.25
16,0,0,Borussia Dortmund,h,3:3,56,3.73
17,0,1,VfB Stuttgart,a,3:2,46,2.88
18,1,10,SV Werder Bremen,a,3:3,51,3.40
19,0,2,TSG Hoffenheim,h,1:3,35,2.33
22,0,5,Borussia M'gladbach,h,3:0,87,5.44
23,0,2,FC Bayern München,a,3:2,45,2.81
24,0,6,Sport-Club Freiburg,h,2:0,81,5.06
25,0,7,FC St. Pauli,a,0:0,54,4.15
26,0,8,1. FC Heidenheim,h,1:0,58,4.14
27,0,1,1. FSV Mainz 05,a,2:1,51,3.19
