spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
11,0,,SV Werder Bremen,h,2:0,83,6.38
13,0,4,Eintracht Frankfurt,h,6:0,102,6.80
19,0,2,1. FC Heidenheim,a,0:3,86,5.73
21,0,,1. FC Köln,a,1:2,74,4.93
22,0,6,VfL Wolfsburg,h,2:2,74,4.62
23,0,,Borussia Dortmund,h,2:2,69,4.60
27,0,2,TSG Hoffenheim,h,5:0,102,6.38
29,0,,Borussia M'gladbach,h,1:0,72,4.80
30,0,6,Eintracht Frankfurt,a,1:3,75,5.36
31,1,13,1. FC Union Berlin,h,3:1,77,4.81
32,0,3,Bayer 04 Leverkusen,a,4:1,40,2.50
33,0,1,FC St. Pauli,h,2:1,64,4.57
34,0,2,Sport-Club Freiburg,a,4:1,37,2.31
