spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,TSG Hoffenheim,h,1:2,49,3.50
2,0,1,SV Werder Bremen,a,3:3,43,2.87
3,0,7,Eintracht Frankfurt,h,3:1,65,4.33
11,0,,VfL Wolfsburg,a,1:3,77,5.13
12,0,,Borussia Dortmund,h,1:2,51,3.64
13,0,3,FC Augsburg,a,2:0,56,3.50
14,0,3,1. FC Köln,h,2:0,76,4.75
15,0,7,RB Leipzig,a,1:3,82,5.12
16,0,3,VfB Stuttgart,h,1:4,40,2.50
18,0,2,TSG Hoffenheim,a,1:0,57,3.56
26,0,3,FC Bayern München,h,1:1,64,4.00
27,0,5,1. FC Heidenheim,a,3:3,54,3.60
28,0,6,VfL Wolfsburg,h,6:3,87,6.21
29,0,2,Borussia Dortmund,a,0:1,63,4.50
30,0,7,FC Augsburg,h,1:2,74,4.93
31,0,5,1. FC Köln,a,1:2,66,4.12
32,1,14,RB Leipzig,h,4:1,89,5.93
